This log file contains data that can be copied and pasted into the pts_info_file.txt
file and edited by a user. The units are in meters and degrees, and the format is as follows:

File name, x translation, y translation, z translation, x rotation, y rotation, z rotation

test_cloud,0,0,0,2.38424,0,-1.95797
test1,0,0,0,0.836316,0,-1.20607
pts1,-0.1212,0,0,0,-30,0
pts2,0.1212,0,0,0,30,0
motor_demo,0,0,0,0.820426,0,-0.877627
new_param_check,0,0,0,-0.221339,0,-2.04358
new_param_check,0,0,0,18.0385,0,-1.95327
new_param_check,0,0,0,20.6348,0,-2.09394
new_param_check,0,0,0,20.6266,0,-2.20298
new_param_check,0,0,0,-19.0615,0,-1.7642
new_param_check,0,0,0,-34.4879,0,-2.41177
pitch_test1,0,0,0,-19.9478,0,-1.46375
pitch_test2,0,0,0,19.7659,0,-1.87491
tilt_test1,0,0,0,24.4735,0,-1.96234
tilt_test2,0,0,0,-25.7992,0,-1.61699
overlap1,0,0,0,-20.7444,0,-1.96099
overlap2,0,0,0,20.6716,0,-1.92176
eb2026_0_0,0,0,0,0.439122,0,0.130055
eb2026_0_20,0,0,0,19.8507,0,0.161389
eb2026_0_n20,0,0,0,-20.3554,0,0.0948581
eb2026_45_0,0,0,0,-0.371408,45,0.0850077
eb2026_45_20,0,0,0,19.8513,45,0.152584
eb2026_45_n20,0,0,0,-20.8819,45,-0.294398
eb2026_90_0,0,0,0,-0.0747083,90,-0.234215
eb2026_90_20,0,0,0,19.5431,90,-0.373082
eb2026_90_n20,0,0,0,-20.1086,90,-0.962712
eb2026_135_0,0,0,0,-0.738471,135,-1.71209
eb2026_135_20,0,0,0,20.1874,135,-1.84446
eb2026_135_n20,0,0,0,-20.1047,135,-2.1702
eb2026_180_0,0,0,0,-0.52429,180,-2.07648
eb2026_180_20,0,0,0,20.7141,180,-2.32467
eb2026_180_n20,0,0,0,-20.5293,180,-2.69876
eb2026_225_0,0,0,0,-1.02843,225,-2.11649
eb2026_225_20,0,0,0,21.3963,225,-3.4472
eb2026_225_n20,0,0,0,-21.331,225,-2.31569
eb2026_270_0,0,0,0,-0.0304899,270,-1.21723
eb2026_270_20,0,0,0,20.2965,270,-1.07238
eb2026_270_n20,0,0,0,-20.953,270,-1.91755
eb2026_315_0,0,0,0,-1.94927,315,-0.804366
eb2026_315_20,0,0,0,20.7762,315,-0.337813
eb2026_315_n20,0,0,0,-21.4043,315,-0.0137736
